"dist","scenario","n","rep","scheme","k","ref_kind","valid","reason","J_fro_rel","var_rel_err_max","se_rel_err_max","cov_offdiag_abs_err","chol_ok","rcond","asym","eig_min","eig_max","n_eval","secs"
"exponential","rate_grande",10000,2,"A",1,"observed",TRUE,NA,7.63616681069834e-08,7.63616623391023e-08,3.81808317693461e-08,NA,TRUE,1,0,10000.0007636167,10000.0007636167,3,0
"exponential","rate_grande",10000,2,"B",1,"observed",TRUE,NA,3.29362640950421e-06,3.29363725734458e-06,1.64681727275693e-06,NA,TRUE,1,0,9999.9670637359,9999.9670637359,3,0.001
"exponential","rate_grande",10000,2,"C_richardson",1,"observed",TRUE,NA,2.89406355477695e-07,2.89406271656244e-07,1.44703146192209e-07,NA,TRUE,1,0,10000.0028940636,10000.0028940636,6,0.001
"exponential","rate_grande",10000,3,"A",1,"observed",TRUE,NA,3.91778663470177e-08,3.91778678821248e-08,1.95889337384903e-08,NA,TRUE,1,0,9999.99960822134,9999.99960822134,3,0.001
"exponential","rate_grande",10000,3,"B",1,"observed",TRUE,NA,2.47317348481374e-05,2.47323465217301e-05,1.23660968005922e-05,NA,TRUE,1,0,9999.75268265152,9999.75268265152,3,0
"exponential","rate_grande",10000,3,"C_richardson",1,"observed",TRUE,NA,5.071205445347e-07,5.07120801294904e-07,2.53560368461144e-07,NA,TRUE,1,0,9999.99492879455,9999.99492879455,6,0
"poisson","lambda_1",100,1,"A",1,"observed",TRUE,NA,1.88846399288366e-07,1.88846434880083e-07,9.4423212977947e-08,NA,TRUE,1,0,100.999980926514,100.999980926514,3,0
"poisson","lambda_1",100,1,"B",1,"observed",TRUE,NA,7.73153849770202e-05,7.73213631081245e-05,3.86599342587931e-05,NA,TRUE,1,0,100.992191146117,100.992191146117,3,0
"poisson","lambda_1",100,1,"C_richardson",1,"observed",TRUE,NA,3.39923518719059e-07,3.39923634138834e-07,1.69961802609932e-07,NA,TRUE,1,0,100.999965667725,100.999965667725,6,0
"poisson","lambda_1",100,2,"A",1,"observed",TRUE,NA,9.73137057557398e-08,9.73136962168848e-08,4.86568493135029e-08,NA,TRUE,1,0,98.0000095367432,98.0000095367432,3,0
"poisson","lambda_1",100,2,"B",1,"observed",TRUE,NA,4.72334582744164e-06,4.723368137588e-06,2.36168127998323e-06,NA,TRUE,1,0,97.9995371121089,97.9995371121089,3,0
"poisson","lambda_1",100,2,"C_richardson",1,"observed",TRUE,NA,5.90369814966491e-07,5.90369466394413e-07,2.95184776807283e-07,NA,TRUE,1,0,98.0000578562419,98.0000578562419,6,0
"poisson","lambda_1",100,3,"A",1,"observed",TRUE,NA,2.87408698095034e-07,2.87408780659887e-07,1.43704380053425e-07,NA,TRUE,1,0,72.999979019165,72.999979019165,3,0
"poisson","lambda_1",100,3,"B",1,"observed",TRUE,NA,0.000107434146088994,0.000107445689424958,5.37214017179185e-05,NA,TRUE,1,0,72.9921573073355,72.9921573073355,3,0
"poisson","lambda_1",100,3,"C_richardson",1,"observed",TRUE,NA,2.48216602900257e-06,2.48217219003411e-06,1.24108532481665e-06,NA,TRUE,1,0,72.9998188018799,72.9998188018799,6,0
"poisson","lambda_1",1000,1,"A",1,"observed",TRUE,NA,2.14239563604798e-06,2.14240022568489e-06,1.07119953913357e-06,NA,TRUE,1,0,989.99787902832,989.99787902832,3,0.001
"poisson","lambda_1",1000,1,"B",1,"observed",TRUE,NA,0.000608775836310037,0.00060914667008378,0.00030452696670518,NA,TRUE,1,0,989.397311922053,989.397311922053,3,0
"poisson","lambda_1",1000,1,"C_richardson",1,"observed",TRUE,NA,5.53323764993687e-06,5.53326826697798e-06,2.76663030636617e-06,NA,TRUE,1,0,989.994522094727,989.994522094727,6,0.001
"poisson","lambda_1",1000,2,"A",1,"observed",TRUE,NA,1.94793051861702e-06,1.9479343130202e-06,9.73966682172238e-07,NA,TRUE,1,0,1033.99798583984,1033.99798583984,3,0
"poisson","lambda_1",1000,2,"B",1,"observed",TRUE,NA,0.00062410122458234,0.000624490970161774,0.000312196751674933,NA,TRUE,1,0,1033.35467933378,1033.35467933378,3,0
"poisson","lambda_1",1000,2,"C_richardson",1,"observed",TRUE,NA,1.01331739100507e-05,1.01332765925221e-05,5.0666254610152e-06,NA,TRUE,1,0,1033.98952229818,1033.98952229818,6,0
"poisson","lambda_1",1000,3,"A",1,"observed",TRUE,NA,4.81349812697161e-08,4.81349834283177e-08,2.40674913925784e-08,NA,TRUE,1,0,950.999954223633,950.999954223633,3,0
"poisson","lambda_1",1000,3,"B",1,"observed",TRUE,NA,0.000395582470391133,0.000395739017809563,0.000197849936606087,NA,TRUE,1,0,950.623801070658,950.623801070658,3,0.00099999999999989
"poisson","lambda_1",1000,3,"C_richardson",1,"observed",TRUE,NA,2.72764893861724e-07,2.72764819182816e-07,1.36382418823308e-07,NA,TRUE,1,0,951.000259399414,951.000259399414,6,0
"poisson","lambda_1",10000,1,"A",1,"observed",TRUE,NA,1.03183506858626e-05,1.03184571553955e-05,5.15921526897191e-06,NA,TRUE,1,0,10114.8956298828,10114.8956298828,3,0.00100000000000011
"poisson","lambda_1",10000,1,"B",1,"observed",TRUE,NA,0.00438253101159257,0.00440182213360058,0.00219849437803512,NA,TRUE,1,0,10070.6706988177,10070.6706988177,3,0.00100000000000011
"poisson","lambda_1",10000,1,"C_richardson",1,"observed",TRUE,NA,8.84723144772615e-05,8.84801425203745e-05,4.4239092711451e-05,NA,TRUE,1,0,10114.1051025391,10114.1051025391,6,0.002
"poisson","lambda_1",10000,2,"A",1,"observed",TRUE,NA,2.24276793600942e-05,2.24271763704985e-05,1.12136510582815e-05,NA,TRUE,1,0,10189.228515625,10189.228515625,3,0.00099999999999989
"poisson","lambda_1",10000,2,"B",1,"observed",TRUE,NA,0.0194483053836392,0.0190772845282435,0.00958457429634282,NA,TRUE,1,0,10387.1587835539,10387.1587835539,3,0.00100000000000011
"poisson","lambda_1",10000,2,"C_richardson",1,"observed",TRUE,NA,0.000152265412863486,0.00015224223163714,7.61240132513028e-05,NA,TRUE,1,0,10190.5514322917,10190.5514322917,6,0.002
"poisson","lambda_1",10000,3,"A",1,"observed",TRUE,NA,7.2855606729598e-06,7.28550759389609e-06,3.64276043172976e-06,NA,TRUE,1,0,9852.07177734375,9852.07177734375,3,0.00099999999999989
"poisson","lambda_1",10000,3,"B",1,"observed",TRUE,NA,0.00219469502882097,0.0021995223094993,0.00109915708160471,NA,TRUE,1,0,9830.37786457606,9830.37786457606,3,0.00099999999999989
"poisson","lambda_1",10000,3,"C_richardson",1,"observed",TRUE,NA,2.82996948589119e-05,2.82988940086517e-05,1.41495471090274e-05,NA,TRUE,1,0,9852.27880859375,9852.27880859375,6,0.002
