"dist","scenario","n","rep","scheme","i","j","entry","ref","num","err","err_type"
"exponential","rate_grande",100,3,"C_richardson",1,1,"J_u[1,1]",100,100.000002845374,2.84537422601261e-08,"rel"
"exponential","rate_grande",1000,1,"A",1,1,"J_u[1,1]",1000,1000.0000470244,4.70244018515586e-08,"rel"
"exponential","rate_grande",1000,1,"B",1,1,"J_u[1,1]",1000,1000.01175089585,1.17508958516055e-05,"rel"
"exponential","rate_grande",1000,1,"C_richardson",1,1,"J_u[1,1]",1000,1000.00014704528,1.47045284734304e-07,"rel"
"exponential","rate_grande",1000,2,"A",1,1,"J_u[1,1]",1000,1000.00005704907,5.7049070960602e-08,"rel"
"exponential","rate_grande",1000,2,"B",1,1,"J_u[1,1]",1000,1000.01012283411,1.01228341133037e-05,"rel"
"exponential","rate_grande",1000,2,"C_richardson",1,1,"J_u[1,1]",1000,999.999957299108,4.27008922088135e-08,"rel"
"exponential","rate_grande",1000,3,"A",1,1,"J_u[1,1]",1000,1000.00005441556,5.4415564250121e-08,"rel"
"exponential","rate_grande",1000,3,"B",1,1,"J_u[1,1]",1000,1000.00171037764,1.71037764323501e-06,"rel"
"exponential","rate_grande",1000,3,"C_richardson",1,1,"J_u[1,1]",1000,1000.00016876066,1.68760662631939e-07,"rel"
"exponential","rate_grande",10000,1,"A",1,1,"J_u[1,1]",10000,10000.0000187491,1.87490677490132e-09,"rel"
"exponential","rate_grande",10000,1,"B",1,1,"J_u[1,1]",10000,10000.053656485,5.36564850117429e-06,"rel"
"exponential","rate_grande",10000,1,"C_richardson",1,1,"J_u[1,1]",10000,9999.99735623466,2.64376534323674e-07,"rel"
"exponential","rate_grande",10000,2,"A",1,1,"J_u[1,1]",10000,10000.0007636167,7.63616681069834e-08,"rel"
"exponential","rate_grande",10000,2,"B",1,1,"J_u[1,1]",10000,9999.9670637359,3.29362640950421e-06,"rel"
"exponential","rate_grande",10000,2,"C_richardson",1,1,"J_u[1,1]",10000,10000.0028940636,2.89406355477695e-07,"rel"
"exponential","rate_grande",10000,3,"A",1,1,"J_u[1,1]",10000,9999.99960822134,3.91778663470177e-08,"rel"
"exponential","rate_grande",10000,3,"B",1,1,"J_u[1,1]",10000,9999.75268265152,2.47317348481374e-05,"rel"
"exponential","rate_grande",10000,3,"C_richardson",1,1,"J_u[1,1]",10000,9999.99492879455,5.071205445347e-07,"rel"
"poisson","lambda_1",100,1,"A",1,1,"J_u[1,1]",101,100.999980926514,1.88846399288366e-07,"rel"
"poisson","lambda_1",100,1,"B",1,1,"J_u[1,1]",101,100.992191146117,7.73153849770202e-05,"rel"
"poisson","lambda_1",100,1,"C_richardson",1,1,"J_u[1,1]",101,100.999965667725,3.39923518719059e-07,"rel"
"poisson","lambda_1",100,2,"A",1,1,"J_u[1,1]",98,98.0000095367432,9.73137057557398e-08,"rel"
"poisson","lambda_1",100,2,"B",1,1,"J_u[1,1]",98,97.9995371121089,4.72334582744164e-06,"rel"
"poisson","lambda_1",100,2,"C_richardson",1,1,"J_u[1,1]",98,98.0000578562419,5.90369814966491e-07,"rel"
