dgp,cfg,m,k,parameter,theta_true,R,n,n_success,conv_rate,bias,rel_bias,rmse,rel_rmse,median_abs_rel_err,p90_rel_err,p95_rel_err,catastrophic,catastrophic_rate
pesada,P3w,3,3,scale,400.0,300,1000,300,1.0,25.296346605799044,0.06324086651449762,103.69603103392534,0.2592400775848133,0.15829909910656945,0.4139101783040099,0.4812852585953517,1,0.0033333333333333335
pesada,P5,5,3,shape1,1.2,300,1000,300,1.0,-0.002022262439883793,-0.0016852186999031609,0.1505099733156875,0.12542497776307293,0.07909716711766732,0.19566436486076974,0.22855657214414837,0,0.0
pesada,P5,5,3,shape2,0.8,300,1000,300,1.0,0.07387954187671464,0.0923494273458933,0.26574831778299035,0.3321853972287379,0.1793317546514806,0.46219003500689293,0.6088417127146258,6,0.02
pesada,P5,5,3,scale,400.0,300,1000,300,1.0,64.92754665579588,0.1623188666394897,210.6124654308829,0.5265311635772073,0.21466746402024434,0.6700170628840016,0.9132422546123203,11,0.03666666666666667
shapes_suaves,P3c,3,3,shape1,3.0,300,1000,300,1.0,0.03218164638799781,0.010727215462665937,0.3814678399971367,0.12715594666571223,0.09320663261752753,0.19361172387667216,0.24109218039610164,0,0.0
shapes_suaves,P3c,3,3,shape2,2.5,300,1000,300,1.0,4975.291128928822,1990.1164515715288,75295.12660469243,30118.050641876973,0.5332201751310823,958.7973079779218,1440.081583283576,101,0.33666666666666667
shapes_suaves,P3c,3,3,scale,600.0,300,1000,300,1.0,1859.4031164316802,3.0990051940528005,7280.2100658093295,12.13368344301555,0.2699231072146119,13.975172827929805,18.04663534794715,64,0.21333333333333335
shapes_suaves,P3w,3,3,shape1,3.0,300,1000,300,1.0,0.03353524769653893,0.011178415898846309,0.2018733846133821,0.0672911282044607,0.04450490064184587,0.10610045224146394,0.1378044257581804,0,0.0
shapes_suaves,P3w,3,3,shape2,2.5,300,1000,300,1.0,0.3107727455304543,0.12430909821218172,1.4864803626164356,0.5945921450465742,0.23885563293377926,0.7535755638829491,0.9534004371718443,14,0.04666666666666667
shapes_suaves,P3w,3,3,scale,600.0,300,1000,300,1.0,18.206142328571104,0.030343570547618506,119.40800073334054,0.19901333455556758,0.11055710518270179,0.2933955063840859,0.37911246936858,1,0.0033333333333333335
shapes_suaves,P5,5,3,shape1,3.0,300,1000,300,1.0,0.014716709316183518,0.004905569772061173,0.16728425382457537,0.05576141794152512,0.03870180929673387,0.09130728242582334,0.10355760436606869,0,0.0
shapes_suaves,P5,5,3,shape2,2.5,300,1000,300,1.0,0.3724705088543838,0.14898820354175352,2.0670903658547837,0.8268361463419135,0.20118823765720417,0.6283180508606088,0.9858739019154279,15,0.05
shapes_suaves,P5,5,3,scale,600.0,300,1000,300,1.0,20.988698512301994,0.03498116418716999,124.87303907847203,0.20812173179745339,0.10026797044720287,0.24661707378276862,0.34426051898416027,2,0.006666666666666667
shape2_alto,P3c,3,3,shape1,2.0,300,1000,300,1.0,0.03417017355998153,0.017085086779990766,0.20555865705472742,0.10277932852736371,0.06862731880105205,0.1501630564030714,0.20240551477136395,0,0.0
shape2_alto,P3c,3,3,shape2,4.0,300,1000,300,1.0,1788.667821580767,447.16695539519174,9120.326134244022,2280.0815335610055,0.59837038959237,851.9812940667572,1352.3390157025385,100,0.3333333333333333
shape2_alto,P3c,3,3,scale,500.0,300,1000,300,1.0,6699.94427228432,13.39988854456864,17557.231430568536,35.11446286113707,0.4213172034621988,46.04304771656645,57.28911040525116,88,0.29333333333333333
shape2_alto,P3w,3,3,shape1,2.0,300,1000,300,1.0,0.027331867177258218,0.013665933588629109,0.13817078920208742,0.06908539460104371,0.04661041911494629,0.10800909914242819,0.14684664897031624,0,0.0
