dist,dgp,n,cfg,m,k,objective,parameter,theta_true,R,n_success,conv_rate,bias,rel_bias,rmse,rel_rmse,sd,fail_not_applicable,fail_optimizer,fail_boundary,fail_nonfinite
normal,norm_estandar,10000,P3w,3,2,D,sd,1.0,300,300,1.0,-0.0007369743843154142,-0.0007369743843154142,0.00859246210201471,0.00859246210201471,0.008575102429144672,0,0,0,0
normal,norm_estandar,10000,P5,5,2,A,mean,0.0,300,300,1.0,0.00018186330156113535,nan,0.010083452959484235,nan,0.010098657945490086,0,0,0,0
normal,norm_estandar,10000,P5,5,2,A,sd,1.0,300,300,1.0,-0.0008524991734022436,-0.0008524991734022436,0.008224476783569216,0.008224476783569216,0.008193842834152159,0,0,0,0
normal,norm_estandar,10000,P5,5,2,B,mean,0.0,300,299,0.9966666666666667,0.0004498694293278638,nan,0.011730240793333927,nan,0.011741261751949105,0,1,0,0
normal,norm_estandar,10000,P5,5,2,B,sd,1.0,300,299,0.9966666666666667,-0.0012014348032787225,-0.0012014348032787225,0.008706426666248495,0.008706426666248495,0.008637589050573274,0,1,0,0
normal,norm_estandar,10000,P5,5,2,Bg,mean,0.0,300,300,1.0,0.00018190877997372934,nan,0.010083486728127042,nan,0.010098690954213408,0,0,0,0
normal,norm_estandar,10000,P5,5,2,Bg,sd,1.0,300,300,1.0,-0.0008524936688233398,-0.0008524936688233398,0.008224447857216611,0.008224447857216611,0.008193814277167878,0,0,0,0
normal,norm_estandar,10000,P5,5,2,C,mean,0.0,300,0,0.0,nan,nan,nan,nan,nan,300,0,0,0
normal,norm_estandar,10000,P5,5,2,C,sd,1.0,300,0,0.0,nan,nan,nan,nan,nan,300,0,0,0
normal,norm_estandar,10000,P5,5,2,D,mean,0.0,300,300,1.0,0.0001437176619034066,nan,0.009932190672791571,nan,0.009947744242426051,0,0,0,0
normal,norm_estandar,10000,P5,5,2,D,sd,1.0,300,300,1.0,-0.0010868136224356784,-0.0010868136224356784,0.008619494472015548,0.008619494472015548,0.008564989858377448,0,0,0,0
normal,norm_estandar,10000,Pmk,2,2,A,mean,0.0,300,300,1.0,-0.00017160401389355534,nan,0.010838277303596747,nan,0.010855025513638764,0,0,0,0
normal,norm_estandar,10000,Pmk,2,2,A,sd,1.0,300,300,1.0,-0.001488273696483411,-0.001488273696483411,0.011560461444450488,0.011560461444450488,0.011483417310338993,0,0,0,0
normal,norm_estandar,10000,Pmk,2,2,B,mean,0.0,300,300,1.0,-0.00017158240282855292,nan,0.010838288385774532,nan,0.010855036958488681,0,0,0,0
normal,norm_estandar,10000,Pmk,2,2,B,sd,1.0,300,300,1.0,-0.0014888527547198827,-0.0014888527547198827,0.011560418319886046,0.011560418319886046,0.011483298437973815,0,0,0,0
normal,norm_estandar,10000,Pmk,2,2,Bg,mean,0.0,300,300,1.0,-0.00017161630426571983,nan,0.010838265335385221,nan,0.010855013328975257,0,0,0,0
normal,norm_estandar,10000,Pmk,2,2,Bg,sd,1.0,300,300,1.0,-0.0014877042617907899,-0.0014877042617907899,0.011560581210544983,0.011560581210544983,0.011483612314701769,0,0,0,0
normal,norm_estandar,10000,Pmk,2,2,C,mean,0.0,300,0,0.0,nan,nan,nan,nan,nan,300,0,0,0
normal,norm_estandar,10000,Pmk,2,2,C,sd,1.0,300,0,0.0,nan,nan,nan,nan,nan,300,0,0,0
normal,norm_estandar,10000,Pmk,2,2,D,mean,0.0,300,300,1.0,-0.00017170365903965092,nan,0.010837518281362184,nan,0.01085426354677313,0,0,0,0
normal,norm_estandar,10000,Pmk,2,2,D,sd,1.0,300,300,1.0,-0.0014893453040136784,-0.0014893453040136784,0.011559650751423572,0.011559650751423572,0.011482459040307572,0,0,0,0
