"dist","scenario","n","scheme","mle_converged","valid","reason","rcond","chol_ok","asym","eig_min","eig_max","step_stability","scale_stability","se_1","se_2","se_3"
"loglogistic","moderada",1000,"C_richardson",TRUE,TRUE,NA,0.723267358511467,TRUE,0,1420.88186171919,1941.41590567285,1.37391046896051e-06,5.34481416719061e-06,0.0638489027179908,13.7834696564216,NA
"loglogistic","moderada",10000,"A",TRUE,TRUE,NA,0.658401784919033,TRUE,0,14283.0216369011,21611.0062881125,1.90691912864981e-07,0.000102866535100105,0.0212958078540891,4.11768409352091,NA
"loglogistic","moderada",10000,"B",TRUE,TRUE,NA,0.658065690061486,TRUE,0,14275.6594411317,21610.7098455766,0.000264702999864975,0.000361489926895724,0.0213012980289745,4.11771247492965,NA
"loglogistic","moderada",10000,"C_richardson",TRUE,TRUE,NA,0.658402295662729,TRUE,0,14283.0191511749,21611.0064235279,5.38035793317562e-07,0.000102171126707511,0.0212958097655406,4.11768406355355,NA
"loglogistic","cola_pesada",100,"A",TRUE,TRUE,NA,0.289541726099827,TRUE,0,42.2077217775877,144.074475820071,2.04014267533213e-07,2.05112317077761e-07,0.0941583938550711,63.5847475423958,NA
"loglogistic","cola_pesada",100,"B",TRUE,TRUE,NA,0.289540355531798,TRUE,0,42.2078630800571,144.076211495106,5.87840576108324e-06,0.000330431273048313,0.0941578212658673,63.5846421964002,NA
"loglogistic","cola_pesada",100,"C_richardson",TRUE,TRUE,NA,0.289541837689493,TRUE,0,42.2077203716357,144.074414789111,6.09949698205799e-07,6.11571217980253e-07,0.0941584138031026,63.5847485998131,NA
"loglogistic","cola_pesada",1000,"A",TRUE,TRUE,NA,0.334342852323914,TRUE,0,481.009611156687,1436.02588382318,2.93241220484313e-07,1.060147819781e-07,0.0317741796332568,18.9765674203256,NA
"loglogistic","cola_pesada",1000,"B",TRUE,TRUE,NA,0.334356501807928,TRUE,0,481.013172379743,1435.97970691979,0.000118768001153029,0.000376822121370355,0.0317746904268697,18.9764971892981,NA
"loglogistic","cola_pesada",1000,"C_richardson",TRUE,TRUE,NA,0.334342243459134,TRUE,0,481.009667065618,1436.02865077312,2.12009258601738e-06,4.11588294435593e-06,0.0317741490226353,18.9765663173515,NA
"loglogistic","cola_pesada",10000,"A",TRUE,TRUE,NA,0.345713286529314,TRUE,0,4932.39982223524,14251.7701601294,2.84089158719607e-07,6.61101320801038e-06,0.0101744540444845,5.66383763100183,NA
"loglogistic","cola_pesada",10000,"B",TRUE,TRUE,NA,0.345442000057529,TRUE,0,4932.3404851663,14261.2189218399,0.000428190530964535,0.00289315533889705,0.0101710843726478,5.66387142574668,NA
"loglogistic","cola_pesada",10000,"C_richardson",TRUE,TRUE,NA,0.345712273500477,TRUE,0,4932.3990803662,14251.8352430321,4.38398439370998e-06,2.47660743264235e-05,0.0101744307910283,5.66383806117437,NA
"pareto","moderada",100,"A",TRUE,TRUE,NA,0.0266713065849502,TRUE,0,4.94655402197513,137.442423362414,5.581420103227e-08,7.2141021904471e-07,0.369248860383377,186.596590340491,NA
"pareto","moderada",100,"B",TRUE,TRUE,NA,0.0266504655105684,TRUE,0,4.94213452338778,137.431494585821,0.000135290155526385,0.000608803039206355,0.36942896269122,186.673023586529,NA
"pareto","moderada",100,"C_richardson",TRUE,TRUE,NA,0.0266707721032478,TRUE,0,4.94644057455096,137.44213822128,2.82918800378443e-06,3.31015484592336e-06,0.369253469680114,186.598553555183,NA
"pareto","moderada",1000,"A",TRUE,TRUE,NA,0.0132880255954325,TRUE,0,25.699429921534,1544.19917227965,1.22493029318176e-07,1.30586015614617e-06,0.320992714405175,175.128229643673,NA
"pareto","moderada",1000,"B",TRUE,TRUE,NA,0.0132971809995014,TRUE,0,25.7178073610875,1544.2173579197,5.62337955987145e-05,0.000626375356012264,0.320875459834461,175.068020755678,NA
