"dist","scenario","n","c_step","log10_c","valid","J_fro_rel"
"geometric","p_pequena",100,1e-09,-9,TRUE,335.77383829324
"geometric","p_pequena",100,3.16227766016838e-09,-8.5,TRUE,4.61289730488733
"geometric","p_pequena",100,1e-08,-8,TRUE,1.24515892195493
"geometric","p_pequena",100,3.16227766016838e-08,-7.5,TRUE,0.122579460977467
"geometric","p_pequena",100,1e-07,-7,TRUE,0.00470861757483263
"geometric","p_pequena",100,3.16227766016838e-07,-6.5,TRUE,0.000218299730922953
"geometric","p_pequena",100,1e-06,-6,TRUE,6.23451343213302e-05
"geometric","p_pequena",100,3.16227766016838e-06,-5.5,TRUE,1.0622530641919e-05
"geometric","p_pequena",100,1e-05,-5,TRUE,1.08060522362147e-06
"geometric","p_pequena",100,3.16227766016838e-05,-4.5,TRUE,1.26412681849174e-07
"geometric","p_pequena",100,1e-04,-4,TRUE,1.41547355724174e-08
"geometric","p_pequena",100,0.000316227766016838,-3.5,TRUE,1.59528775781035e-07
"geometric","p_pequena",100,0.001,-3,TRUE,1.59755306549764e-06
"geometric","p_pequena",100,0.00316227766016838,-2.5,TRUE,1.59761289300829e-05
"geometric","p_pequena",100,0.01,-2,TRUE,0.000159768424917873
"geometric","p_pequena",1000,1e-09,-9,TRUE,692.110001468964
"geometric","p_pequena",1000,3.16227766016838e-09,-8.5,TRUE,87.3887501836205
"geometric","p_pequena",1000,1e-08,-8,TRUE,13.526368776625
"geometric","p_pequena",1000,3.16227766016838e-08,-7.5,TRUE,0.308889998531036
"geometric","p_pequena",1000,1e-07,-7,TRUE,0.0885986855628039
"geometric","p_pequena",1000,3.16227766016838e-07,-6.5,TRUE,0.00480159788469192
"geometric","p_pequena",1000,1e-06,-6,TRUE,0.00100049287661262
"geometric","p_pequena",1000,3.16227766016838e-06,-5.5,TRUE,0.00019167187592129
"geometric","p_pequena",1000,1e-05,-5,TRUE,6.59030575033348e-06
"geometric","p_pequena",1000,3.16227766016838e-05,-4.5,TRUE,1.36378636437316e-06
"geometric","p_pequena",1000,1e-04,-4,TRUE,5.93162363850148e-08
"geometric","p_pequena",1000,0.000316227766016838,-3.5,TRUE,1.59247301706513e-07
"geometric","p_pequena",1000,0.001,-3,TRUE,1.66798362925622e-06
"geometric","p_pequena",1000,0.00316227766016838,-2.5,TRUE,1.6684961670803e-05
"geometric","p_pequena",1000,0.01,-2,TRUE,0.000166858768234632
"geometric","p_pequena",10000,1e-09,-9,TRUE,5747.64831895984
"geometric","p_pequena",10000,3.16227766016838e-09,-8.5,TRUE,125.626108122021
"geometric","p_pequena",10000,1e-08,-8,TRUE,11.7316926438407
